IncepOper1	0
Real2	1
Caus1Func0	2
Oper2	3
LiquFunc0	4
Oper1	5
AntiMagn	6
AntiReal2	7
CausFunc0	8
IncepPredPlus	9
AntiBon	10
Real1	11
AntiVer	12
Bon	13
Ver	14
Magn	15
